Image Name,T0,T1,T2,T3,T4,Tappl
conf_068,11344528,11344536,12366300,12366326,15347218,5.339175224304199
conf_032,16636449,16636457,17657809,17657834,20638928,5.254128456115723
conf_073,21903143,21903152,22924758,22924784,25905728,5.250967025756836
conf_053,27166963,27166970,28188215,28188240,31169315,5.253682851791382
conf_066,32433525,32433533,33455001,33455025,36436246,5.268437147140503
conf_062,37714764,37714772,38735952,38735978,41717312,5.247549295425415
conf_010,42974883,42974890,43996493,43996519,46977659,5.254803657531738
conf_012,48241991,48241999,49263242,49263267,52247257,5.3329176902771
conf_038,53587563,53587571,54610107,54610134,57594113,5.337571859359741
conf_037,58938258,58938268,59960771,59960798,62943522,5.3338096141815186
conf_020,64284866,64284875,65307141,65307173,68290035,5.33404803276062
conf_004,69631923,69631932,70654773,70654802,73637738,5.337022066116333
conf_061,74982827,74982837,76005288,76005317,78981220,5.242819547653198
conf_064,80231947,80231955,81253313,81253340,84234280,5.243611574172974
conf_017,85488340,85488348,86509691,86509717,89490667,5.251248598098755
conf_082,90752282,90752289,91773911,91773938,94754912,5.2557213306427
conf_054,96020568,96020576,97042698,97042725,100026868,5.338553190231323
conf_030,101371933,101371943,102394581,102394608,105377819,5.338773488998413
conf_065,106723128,106723137,107746030,107746057,110729424,5.337451934814453
conf_084,112072755,112072764,113095370,113095396,116078118,5.3380351066589355
conf_083,117423724,117423733,118447383,118447411,121430101,5.335859298706055
conf_002,122772474,122772483,123794600,123794627,126777739,5.3359055519104
conf_075,128121655,128121665,129144787,129144814,132127664,5.335103988647461
conf_074,133469262,133469272,134491844,134491870,137474817,5.3377156257629395
conf_013,138819926,138819935,139841699,139841725,142822921,5.2454516887664795
conf_072,144077404,144077411,145098652,145098678,148079660,5.241552829742432
conf_086,149330423,149330431,150351823,150351851,153332784,5.237760066986084
conf_070,154579648,154579656,155601222,155601248,158582178,5.243778467178345
conf_067,159835049,159835058,160856261,160856287,163837226,5.239321947097778
conf_009,165086041,165086050,166107772,166107798,169088728,5.2429468631744385
conf_060,170341546,170341554,171362908,171362934,174343926,5.239856243133545
conf_071,175594210,175594218,176615795,176615822,179596748,5.242560863494873
conf_008,180849713,180849722,181870998,181871023,184852043,5.241774797439575
conf_063,186104516,186104523,187125922,187125948,190106882,5.242815732955933
conf_069,191358910,191358917,192380158,192380184,195361125,5.236675024032593
conf_041,196608605,196608613,197629859,197629885,200610894,5.2412896156311035
conf_029,201861812,201861819,202883119,202883146,205864143,5.2384092807769775
conf_081,207112803,207112810,208134270,208134296,211115254,5.24254584312439
conf_014,212367636,212367643,213388973,213389001,216369867,5.238759517669678
conf_085,217618411,217618418,218639639,218639665,221620597,5.245193719863892
